Designator,Mid X,Mid Y,Rotation,Layer
A1,262.533033,-39.885971,0.0,top
D1,35.71878,-21.431268,90.0,bottom
D10,207.168924,-21.431268,90.0,bottom
D11,226.21894,-21.431268,90.0,bottom
D12,245.268956,-21.431268,90.0,bottom
D13,35.71878,-45.243788,90.0,bottom
D14,54.768796,-45.243788,90.0,bottom
D15,73.818812,-45.243788,90.0,bottom
D16,35.71878,-64.293804,90.0,bottom
D17,54.768796,-64.293804,90.0,bottom
D18,73.818812,-64.293804,90.0,bottom
D19,40.481284,-88.106324,90.0,bottom
D2,54.768796,-21.431268,90.0,bottom
D20,69.056308,-88.106324,90.0,bottom
D21,35.71878,-107.15634,90.0,bottom
D22,54.768796,-107.15634,90.0,bottom
D23,73.818812,-107.15634,90.0,bottom
D24,35.71878,-126.206356,90.0,bottom
D25,54.768796,-126.206356,90.0,bottom
D26,73.818812,-126.206356,90.0,bottom
D27,35.71878,-145.256372,90.0,bottom
D28,54.768796,-145.256372,90.0,bottom
D29,73.818812,-145.256372,90.0,bottom
D3,73.818812,-21.431268,90.0,bottom
D30,97.631332,-45.243788,90.0,bottom
D31,116.681348,-45.243788,90.0,bottom
D32,135.731364,-45.243788,90.0,bottom
D33,154.78138,-45.243788,90.0,bottom
D34,97.631332,-64.293804,90.0,bottom
D35,116.681348,-64.293804,90.0,bottom
D36,135.731364,-64.293804,90.0,bottom
D37,154.78138,-64.293804,90.0,bottom
D38,97.631332,-88.106324,90.0,bottom
D39,116.681348,-88.106324,90.0,bottom
D4,92.868828,-21.431268,90.0,bottom
D40,135.731364,-88.106324,90.0,bottom
D41,154.78138,-88.106324,90.0,bottom
D42,97.631332,-107.15634,90.0,bottom
D43,116.681348,-107.15634,90.0,bottom
D44,135.731364,-107.15634,90.0,bottom
D45,154.78138,-107.15634,90.0,bottom
D46,97.631332,-126.206356,90.0,bottom
D47,116.681348,-126.206356,90.0,bottom
D48,135.731364,-126.206356,90.0,bottom
D49,154.78138,-126.206356,90.0,bottom
D5,111.918844,-21.431268,90.0,bottom
D50,126.206356,-145.256372,90.0,bottom
D51,197.643916,-45.243788,90.0,bottom
D52,226.21894,-45.243788,90.0,bottom
D53,192.881412,-64.293804,90.0,bottom
D54,211.931428,-64.293804,90.0,bottom
D55,230.981444,-63.698491,90.0,bottom
D56,214.31268,-117.871974,90.0,bottom
D57,185.737656,-84.534446,90.0,bottom
D58,242.887704,-84.534446,90.0,bottom
D6,130.96886,-21.431268,90.0,bottom
D7,150.018876,-21.431268,90.0,bottom
D8,169.068892,-21.431268,90.0,bottom
D9,188.118908,-21.431268,90.0,bottom
M1,219.075,-104.275,0.0,top
SW1,204.7875,-119.0625,0.0,top
SW100,90.4875,-47.625,0.0,top
SW101,109.5375,-47.625,0.0,top
SW102,128.5875,-47.625,0.0,top
SW103,147.6375,-47.625,0.0,top
SW104,90.4875,-66.675,0.0,top
SW105,109.5375,-66.675,0.0,top
SW106,128.5875,-66.675,0.0,top
SW107,147.6375,-66.675,0.0,top
SW108,90.4875,-90.4875,0.0,top
SW109,109.5375,-90.4875,0.0,top
SW110,128.5875,-90.4875,0.0,top
SW111,147.6375,-90.4875,0.0,top
SW112,90.4875,-109.5375,0.0,top
SW113,109.5375,-109.5375,0.0,top
SW114,128.5875,-109.5375,0.0,top
SW115,147.6375,-109.5375,0.0,top
SW116,90.4875,-128.5875,0.0,top
SW117,109.5375,-128.5875,0.0,top
SW118,128.5875,-128.5875,0.0,top
SW119,147.6375,-128.5875,0.0,top
SW120,119.0625,-147.6375,0.0,top
SW121,190.5,-47.625,0.0,top
SW122,219.075,-47.625,0.0,top
SW123,185.7375,-66.675,0.0,top
SW124,204.7875,-66.675,0.0,top
SW125,223.8375,-66.675,0.0,top
SW2,176.2125,-85.725,0.0,top
SW3,233.3625,-85.725,0.0,top
SW71,28.575,-47.625,0.0,top
SW72,47.625,-47.625,0.0,top
SW73,66.675,-47.625,0.0,top
SW74,28.575,-66.675,0.0,top
SW75,47.625,-66.675,0.0,top
SW76,66.675,-66.675,0.0,top
SW77,33.3375,-90.4875,0.0,top
SW78,61.9125,-90.4875,0.0,top
SW79,28.575,-109.5375,0.0,top
SW80,47.625,-109.5375,0.0,top
SW81,66.675,-109.5375,0.0,top
SW82,28.575,-128.5875,0.0,top
SW83,47.625,-128.5875,0.0,top
SW84,66.675,-128.5875,0.0,top
SW85,28.575,-147.6375,0.0,top
SW86,47.625,-147.6375,0.0,top
SW87,66.675,-147.6375,0.0,top
SW88,28.575,-23.81252,0.0,top
SW89,47.625,-23.8125,0.0,top
SW90,66.675,-23.8125,0.0,top
SW91,85.725,-23.8125,0.0,top
SW92,104.775,-23.8125,0.0,top
SW93,123.825,-23.8125,0.0,top
SW94,142.875,-23.8125,0.0,top
SW95,161.925,-23.8125,0.0,top
SW96,180.975,-23.8125,0.0,top
SW97,200.025,-23.8125,0.0,top
SW98,219.075,-23.8125,0.0,top
SW99,238.125,-23.8125,0.0,top
